"id","comment","command","value","target"
"f7d29a6d-90c6-47e3-9e58-2d329f943adf","输入查不到内容的文本","type","我猜你肯定查不出来&！叽里呱啦","css=.ant-input"
"9f6d5d52-83cd-4693-9fc8-12150ff99d3f","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"84635f8a-5b8f-4512-b2a4-1fb636eb7f94","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"b67e09d0-7708-434d-9910-8eae3706c06b","等待一定时间，确认 结果列表 是否返回","waitForElementNotPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"aa0af2c6-270e-425c-99b6-0f1e061d2bdd","打开语雀主页（登录情况下）","open","","/dashboard"
"bd756e15-3ca7-4946-a458-85b0a24337de","","setWindowSize","","1291x795"
"47c217c3-125c-401c-9a21-0bbada285953","点击搜索框","click","","css=.ant-input"
"8af2cedf-6b91-4904-af31-69e2a8fd3742","随便输入点什么东西","type","java","css=.ant-input"
"3ca0d2af-45ae-40ff-b6c7-5dcca824b8a8","点击清空输入框按钮","click","","css=.larkicon-close"
"0c522159-b48c-4d8b-98b8-e6b84176fcf7","判断输入框内容是否清空","assertValue","","css=.ant-input"
